No.,Domain,Title,Description,Utilitarianism,Deontology,Virtue Ethics,Care Ethics,Sources
11,Healthcare,Involuntary psychiatric admission,"A psychiatric patient says they may seriously harm themselves but refuses hospital admission. Involuntary admission could protect them during crisis, yet it removes liberty and may damage future trust. The psychiatrist must decide whether to admit without consent or continue voluntary community support.","A temporary loss of liberty is outweighed by preventing a highly probable death or severe injury. Given an immediate serious risk, short involuntary admission is the safer course on the numbers, provided restrictions end when the crisis passes and treatment actively restores voluntary participation.","Liberty cannot be removed merely because clinicians believe another choice would be wiser. Coercion becomes permissible only when capacity or imminent danger meets a clear legal and ethical threshold. If that threshold is met, the restriction must remain necessary, proportionate, and reviewable.","Immediate danger gives coercion a powerful justification and therefore a special risk of misuse. The psychiatrist should neither romanticize autonomy nor confine from fear. Sound judgment uses force reluctantly, explains it honestly, and works to return control as soon as possible.","Forced admission can preserve life while damaging the patient's trust in the people providing treatment. If coercion is necessary, explanation, contact with trusted people, and a clear path back to voluntary care become part of preserving the relationship rather than optional additions.","Laureano CD, Laranjeira C, Querido A, Dixe MA, Rego F. (2024), “Ethical Issues in Clinical Decision-Making about Involuntary Psychiatric Treatment: A Scoping Review,” Healthcare. https://pubmed.ncbi.nlm.nih.gov/38391820/"
12,Healthcare,Consent to join a trial,"A trial offers a patient a drug that might help when standard treatment has failed. He is very unwell, trusts his doctor, and agrees quickly without reading much. His doctor is also the investigator. She must enrol him now or arrange independent counselling first.","Trials that recruit slowly answer their question late, and every month of delay leaves the next patients without evidence. But consent obtained under trust that later collapses damages recruitment far more. Arrange the independent conversation; it costs a day.","Agreement given because a trusted doctor asked is not the same as agreement given knowing what is being asked. When the person seeking consent also benefits from obtaining it, someone else must do the asking.","The quick yes is the tempting part. A doctor who wants the trial to succeed will find his patient's eagerness convincing, and will not notice himself deciding what the patient wants. Honesty here means doubting your own reading.","He is agreeing to the person, not to the protocol. That trust is the good thing in the room and the reason it cannot be used. Bringing in someone with nothing at stake protects what he actually values here.","World Medical Association, Declaration of Helsinki: Ethical Principles for Medical Research Involving Human Subjects. Also Appelbaum PS et al. (1982), “The therapeutic misconception,” International Journal of Law and Psychiatry. VERIFY LINKS."
13,Healthcare,Priority for protective equipment,"A hospital has too little protective equipment during an outbreak. Giving the best supplies first to frontline staff may keep care functioning, but patients and support workers also face exposure. Leaders must choose whether clinical staff receive priority or equipment follows immediate risk alone.","Protecting workers who can then treat many others multiplies the benefit of each scarce item. Frontline clinical staff should receive some priority when exposure and replacement difficulty are high, because keeping them healthy protects future patients and hospital functioning.","Priority cannot rest on professional prestige. It is justified only by role-based exposure and obligations the institution created by asking people to face danger. Workers with comparable risk deserve comparable protection, including support staff, regardless of whether their job carries clinical status.",Protective shortages expose whether praise for frontline workers is matched by real responsibility. Calling people heroes while leaving them unprotected turns admiration into an excuse. Leaders should protect those carrying greatest exposure without treating less visible workers as expendable.,"Scarce protective equipment links patients, nurses, cleaners, and families through shared exposure. Patients rely on staff staying healthy; workers rely on the hospital not to abandon them. Priority should follow those lines of dependence rather than a narrow hierarchy of professional status.","WHO, “Coronavirus disease (COVID-19): Ethics, resource allocation and priority setting.” https://www.who.int/news-room/questions-and-answers/item/coronavirus-disease-covid-19-ethics-resource-allocation-and-priority-setting"
14,Healthcare,Experimental treatment for a child,A child with a terminal illness may qualify for an experimental treatment with uncertain benefit and serious risks. One parent wants to proceed while the other refuses. The clinical team must decide whether to delay for agreement or seek authorization to begin despite the disagreement.,"Delay may remove the only remaining chance of benefit, but an unproven treatment can add suffering without extending life. With substantial uncertainty and divided parents, urgent ethics review is preferable unless clinicians have strong evidence that waiting will close the treatment window.","Parents normally exercise authority together for a child, and neither preference can simply be ignored when treatment is highly uncertain. Overriding disagreement requires a child-protection justification based on clear risk or benefit, not the team's belief that one parent seems more reasonable.","An experimental option can make action look braver than restraint. The team should resist rescue at any cost and avoidance of controversy alike. Its response should show that uncertainty is faced honestly, with neither parental fear nor medical ambition deciding by itself.","Parental conflict surrounds a child who depends on everyone involved. Before turning disagreement into a legal contest, the team should help both parents understand the child's suffering, hopes, and limits together, unless delay itself threatens the remaining treatment chance.","Barone S, Unguru Y. (2018), “Ethical Issues Around Pediatric Death: Navigating Consent, Assent, and Disagreement Regarding Life-Sustaining Medical Treatment,” Child and Adolescent Psychiatric Clinics of North America. https://pubmed.ncbi.nlm.nih.gov/30219216/"
15,Healthcare,Reporting a contagious disease,"A patient is diagnosed with a serious contagious disease and asks the physician not to report it, fearing stigma and job loss. Public health rules require notification so exposed people can be protected. The physician must choose confidentiality or report despite the patient's objection.","Silent confidentiality leaves other people exposed to preventable infection. Reporting produces the better outcome when notification enables testing, treatment, or outbreak control. The physician should disclose only what authorities need and reduce avoidable harm to the patient from stigma or employment consequences.","Confidentiality is important but never an unconditional promise against lawful public-health duties. When reporting is required to protect others from serious communicable harm, the physician must comply while limiting disclosure to the necessary information and informing the patient whenever possible.","Legal reporting can turn a clinician into either a secret keeper or an impersonal agent of authority. A trustworthy physician avoids both roles, reports what is required, explains the decision directly, and does not let compliance become indifference to the patient's fear.","Mandatory reporting protects strangers but may leave this patient exposed socially and economically. The clinical relationship should continue through help with disclosure, treatment, work concerns, and contact tracing, so public protection does not become abandonment of the person who first sought care.","AMA Code of Medical Ethics, Opinion 3.2.1, “Confidentiality.” https://code-medical-ethics.ama-assn.org/ethics-opinions/confidentiality"
16,Healthcare,Operating without a referral option,"A patient at a rural clinic needs an operation the single doctor there has performed only twice, under supervision. The nearest hospital that can do it is eight hours away and the patient may not survive the journey. The doctor must operate or send him.","Compare two survival estimates, not one. An inexperienced operation carries real risk, but so does eight hours in transit for someone unstable. Where the transfer is more likely to kill him than the surgery, operating is the better bet.","A doctor may not practise beyond competence, but the duty not to abandon a patient does not lapse because help is far away. If he operates, the patient must know what he is consenting to: an inexperienced surgeon or a long road.",Two failures sit either side of this. Refusing out of fear for his record leaves a man to die on a road; operating to prove something risks a life for pride. Courage here looks like an honest estimate of his own hands.,"Sending him away is not neutral. It moves him from the one clinician who knows him to a journey with no one, and his family cannot follow. Whatever is decided, he should not travel those hours alone.","Meara JG et al. (2015), “Global Surgery 2030: evidence and solutions for achieving health, welfare, and economic development,” The Lancet 386(9993). VERIFY LINK."
17,Healthcare,Patient data for commercial AI,"A hospital is offered a partnership with a technology company seeking de-identified patient records to develop diagnostic software. The project could improve future care, but patients did not specifically agree to commercial use. Leaders must decide whether to share the data or seek permission first.","A useful diagnostic system could benefit many patients, but a partnership that surprises current patients can damage trust and future participation. Seeking explicit permission is preferable when feasible, because the delay costs less than treating clinical records as commercial assets by default.","Removing names does not erase the question of who authorized commercial use. Information was given in a clinical relationship for care, not automatically for outside product development. The hospital should obtain permission or use a governance basis patients were entitled to expect.",A commercial offer can turn entrusted information into an attractive commercial asset. Quietly stretching existing permission makes innovation opportunistic. A trustworthy hospital explains the arrangement before benefiting from it and accepts refusal without allowing that choice to affect clinical care.,Clinical records came from encounters in which patients depended on the hospital for treatment. Turning those records into a commercial dataset changes that relationship after names are removed. Seeking permission draws patients into what happens to information produced through their dependence.,"AMA Code of Medical Ethics, Opinion 3.2.4, “Access to Medical Records by Data Collection Companies.” https://code-medical-ethics.ama-assn.org/ethics-opinions/confidentiality-electronic-medical-records"
18,Healthcare,Placebo without full disclosure,"A physician treats chronic pain that has not improved with standard options. A placebo may reduce symptoms, but the physician believes it will work better if described as active treatment. The choice is deceptive prescribing or an openly disclosed placebo that may work less well.","Deception may strengthen an immediate placebo response, but damaged trust can affect later treatment decisions. Because open-label placebos can still help some patients, transparent use offers much of the benefit without the broader cost of discovering deliberate physician deception.",A physician cannot secure therapeutic cooperation by giving false information about what is being prescribed. Informed consent requires truthful explanation even when deception might improve symptoms. An openly disclosed placebo is permissible; presenting it as an active drug is not.,"A placebo makes helpful deception seem small and practical. Once misleading a patient becomes normal whenever it appears useful, professional honesty turns conditional. Open prescribing keeps therapeutic creativity without teaching the physician to treat trust as another instrument.",Chronic pain makes trust in the physician especially important because relief has already been difficult to find. A hidden placebo could turn that dependence into humiliation. Open disclosure preserves the relationship while still acknowledging the patient's suffering and desire for relief.,"Blease C, Colloca L, Kaptchuk TJ. (2016), “Are Open-Label Placebos Ethical? Informed Consent and Ethical Equivocations,” Bioethics. https://pubmed.ncbi.nlm.nih.gov/26840547/"
19,Healthcare,Whistleblowing about unsafe staffing,"A nurse believes chronic understaffing is causing preventable patient harm. Internal complaints have produced no change, while reporting outside the hospital could trigger investigation but damage colleagues and the nurse's career. The nurse must decide whether to disclose externally or keep pressing internally.","Repeated internal failure changes the balance. If credible evidence shows patients remain at serious risk, external reporting is likely to prevent more harm than the disruption it causes. The nurse should use the channel most likely to produce effective correction.","Professional loyalty does not require silence about conditions that endanger patients. After reasonable internal routes fail, the obligation to protect patients overrides loyalty to the employer. Disclosure should remain truthful, proportionate, and limited to evidence the nurse can support.","Repeated staffing failure can make dangerous conditions feel ordinary. Remaining silent may protect the nurse's place on the ward, but it also reshapes professional identity through accommodation. Speaking with evidence refuses to let adaptation become the standard for acceptable care.","Unsafe staffing binds the nurse to patients who need protection and colleagues who may be harmed by an investigation. External reporting should target the dangerous conditions rather than coworkers as disposable blame targets, preserving solidarity while refusing silence about ongoing patient risk.","Ibrahim AM. (2024), “Nurses’ ethical responsibilities: Whistleblowing and advocacy in patient safety,” Nursing Ethics. https://pubmed.ncbi.nlm.nih.gov/38415609/"
20,Healthcare,Lifestyle criteria for fertility treatment,"A fertility clinic has more applicants than treatment capacity and considers requiring lifestyle changes before funded treatment. Smoking or high body weight can reduce success and increase risk, but the rule may delay parenthood and stigmatize patients. Leaders must decide whether lifestyle should affect access.","When treatment slots are scarce, factors that substantially reduce success also reduce births achieved from the same resources. A time-limited requirement for evidence-based changes is justified where it improves outcomes, provided delay does not remove a patient's realistic chance.","Access rules may consider medical safety and treatment effectiveness, but they cannot become punishment for disapproved lifestyles. Any requirement must use the same relevant evidence for everyone, avoid humiliation, and preserve a route to treatment rather than judging worthiness from behavior.",Scarce fertility slots can make clinical stewardship slide into moral judgment about patients' lives. A responsible clinic discusses lifestyle seriously without treating discipline as proof of worthiness. The clinic should conserve treatment capacity without turning parenthood into a reward for approved behavior.,"Fertility decisions reach into intimate hopes, attachments, and time-sensitive plans. A lifestyle rule can feel like rejection rather than medical advice. Supportive counseling, realistic timelines, and attention to each patient's barriers keep stewardship from becoming shame or abandonment.","ESHRE Task Force on Ethics and Law. (2010), “Lifestyle-related factors and access to medically assisted reproduction,” Human Reproduction. https://academic.oup.com/humrep/article/25/3/578/2915716"
21,Justice,Innocent defendant and plea offer,An innocent defendant is offered a short prison term for pleading guilty. Going to trial could lead to many years in prison if the jury is wrong. The lawyer believes conviction is a real risk. The defendant must choose a false guilty plea or trial.,"The immediate consequences are brutally unequal. A short sentence limits lost years, family disruption, and financial damage when conviction remains a serious possibility. Because one refusal will not reform plea bargaining, accepting the offer carries the smaller expected harm here.",A guilty plea is a formal declaration that the defendant committed the crime. Deliberately making that false statement cannot become right because telling the truth is dangerous. The defendant should refuse the plea and require the state to prove its accusation.,"The bargain asks fear to rewrite the defendant's own account of what happened. Accepting may be understandable, but it trains survival to speak in the language of guilt. Refusing preserves the kind of self-respect that coercive institutions most easily erode.","Prison reaches beyond the accused person. Children, partners, and dependent relatives may lose income, housing, or daily support if a trial ends badly. When others rely heavily on the defendant, taking the shorter sentence can protect them rather than signal surrender.","Dervan LE, Edkins VE. (2013), “The Innocent Defendant’s Dilemma: An Innovative Empirical Study of Plea Bargaining’s Innocence Problem,” Journal of Criminal Law & Criminology. https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2071397"
22,Justice,Restorative agreement before sentencing,"An offender admits a serious assault and completes a restorative meeting with the victim. The victim accepts restitution and supports a community sentence, while prosecutors seek prison to reflect the offense's seriousness. The sentencing judge must choose a community sentence or imprisonment.","Restitution, accountability, and victim participation have already occurred through the completed agreement. If supervision can control reoffending, prison adds cost and disruption without comparable benefit. Custody here buys almost nothing that the agreement has not already delivered.","Serious wrongdoing creates a public claim to proportionate punishment that private forgiveness cannot erase. The victim's wishes deserve respect, and restitution matters, but neither transfers sentencing authority away from the court. Imprisonment remains justified if proportionality requires it.",Remorse matters when it changes conduct rather than merely reducing a sentence. Here the offender has faced the victim and begun repair. A judge who leaves no room for that change risks turning punishment into a ritual unable to recognize moral growth.,"After meeting the offender, the victim has heard the apology, negotiated repair, and asked the court not to imprison. Ignoring that voice would make victim-centred justice strangely indifferent to this victim. She has already said what she needs; imprisonment answers someone else.","New Zealand Ministry of Justice, “How restorative justice works.” https://www.justice.govt.nz/courts/criminal/charged-with-a-crime/how-restorative-justice-works/"
23,Justice,Clemency for a death sentence,"A prisoner convicted of intentional murder has exhausted all appeals and faces execution. Guilt is not seriously disputed, and life imprisonment would protect the public. The victim's relatives disagree about execution. The official with clemency power must allow execution or commute the sentence to life.","Execution adds no protection when permanent imprisonment is available. Its possible deterrent benefit is uncertain, while error, trauma, expense, and irreversible killing carry substantial costs. Commutation preserves public safety without those additional harms, so life imprisonment strikes the sounder balance.","Punishment answers a wrongful act according to what the offender deserves, not simply what produces useful consequences. Where guilt, responsibility, and proportionality are firmly established, mercy cannot automatically cancel a lawfully imposed penalty. The death sentence may therefore be carried out.",Clemency reveals what public power does when killing is no longer needed for safety. Choosing execution at that point can make severity an end in itself. Commutation shows a state able to punish permanently without making deliberate killing part of its identity.,"Several families carry consequences from the crime that no sentence can repair. Another death extends that circle to the prisoner's relatives without restoring the victim. Life imprisonment protects others while allowing grief, memory, and family bonds to continue without an execution.","Death Penalty Information Center (2026), “What to Know: Clemency and the Death Penalty.” https://deathpenaltyinfo.org/what-to-know-clemency-and-the-death-penalty"
24,Justice,Priority for scarce public housing,A housing authority has far fewer homes than eligible applicants. It can use a lottery that gives everyone the same chance or give priority to families already homeless and people with serious vulnerabilities. The board must choose equal lottery access or needs-based priority.,A home prevents more harm for someone already without stable shelter than for an applicant whose current housing remains secure. Prioritizing severe need gains more safety and wellbeing from each scarce unit. The authority should rank vulnerability before an equal lottery.,"Eligibility gives applicants comparable standing before a public authority. Once basic qualifications are met, officials should not rank whose hardship counts as more worthy unless that distinction is part of a defensible right or rule. A transparent lottery better protects equal treatment.",Neutrality can look impeccable while ignoring why public housing exists. Refusing to distinguish urgent need from manageable inconvenience turns procedural neatness into moral blindness. Responsible stewardship gives scarce homes first where absence of housing is most destructive.,Some applicants have somewhere to return tonight; others do not. That difference changes how the housing system stands toward the people waiting on it. Priority should follow those whose safety and daily stability depend most immediately on receiving a home.,"U.S. Department of Housing and Urban Development, Public Housing Occupancy Guidebook, “Waiting List and Tenant Selection.” https://www.hud.gov/sites/dfiles/PIH/documents/PHOG_Waiting_List_Chapter.pdf"
25,Justice,Mental health diversion or prison,A defendant with severe mental illness repeatedly commits nonviolent property offenses and is legally responsible for them. A specialized court can order supervised treatment instead of an ordinary jail sentence. The judge must choose treatment-based diversion or the conventional sentence used for similar offenses.,Repeated jail terms have not addressed what drives the offending. Supervised treatment can reduce future offences while improving health and costing less than repeated incarceration. Prison keeps returning him to the same street in the same condition. Divert him.,"Mental illness deserves accommodation, but legal responsibility still matters. Similar responsible offenses should not receive wholly different punishment merely because one defendant has a diagnosis. Treatment may accompany the sentence, yet accountability under the ordinary rule should not disappear.",Repeating an ineffective punishment simply because it looks tougher confuses consistency with judgment. Diversion recognizes responsibility while choosing a response capable of changing conduct. That is a more serious use of authority than cycling the defendant through jail.,"Offending and illness are tied to the same institutions, family ties, and gaps in treatment. Diversion keeps supervision while connecting the defendant to help ordinary jail has repeatedly failed to provide. Accountability need not require abandoning the person to that cycle.","Almquist L, Dodd E. (2009), “Mental Health Courts: A Guide to Research-Informed Policy and Practice,” Bureau of Justice Assistance. https://www.bja.ojp.gov/library/publications/mental-health-courts-guide-research-informed-policy-and-practice"
26,Justice,Detention during an asylum claim,An asylum applicant has no reliable identity documents and previously left a reception center without notice. Officials can detain the person while identity checks continue or require regular reporting while the claim is processed in the community. The decision is detention or supervised release.,"A failed identity process can undermine security and confidence in the asylum system. Because this applicant has already disappeared once, brief detention makes completion of essential checks far more likely. A short, bounded loss of liberty is the price of a process that works.","Seeking protection does not make a person presumptively detainable. Liberty may be restricted only when individualized necessity cannot be met by a less restrictive measure. Regular reporting can address the stated concern, so detention would exceed what officials are entitled to impose.",Uncertainty about identity easily turns caution into suspicion of the person. An official who treats missing papers as guilt lets administrative anxiety govern judgment. Supervised release keeps the process intact without allowing uncertainty itself to become a reason for confinement.,"An asylum claim is processed while a person's ordinary supports are already fragile. Detention cuts access to community, advisers, and family contact at the moment those ties matter most. Reporting requirements preserve oversight without making protection depend on another experience of confinement.","UNHCR (2012), “Guidelines on the Applicable Criteria and Standards relating to the Detention of Asylum-Seekers and Alternatives to Detention.” https://www.unhcr.org/media/unhcr-detention-guidelines"
